N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,428,25812.160428245323,2.098,164.882,860.0,5.063,34.538,860.09,5.063,34.537952
0,429,25812.160428245323,2.098,164.882,862.1,5.054,34.539,862.19,5.054,34.53896
0,430,25812.160428245323,2.098,164.882,864.0,5.046,34.539,864.09,5.046,34.538956
0,431,25812.160428245323,2.098,164.882,866.0,5.034,34.539,866.09,5.034,34.538948
0,432,25812.160428245323,2.098,164.882,868.0,5.031,34.539,868.09,5.031,34.53895
0,433,25812.160428245323,2.098,164.882,870.0,5.031,34.539,870.09,5.031,34.53895
0,434,25812.160428245323,2.098,164.882,872.0,5.025,34.539,872.09,5.025,34.538956
0,435,25812.160428245323,2.098,164.882,874.0,5.014,34.54,874.09,5.014,34.53996
0,436,25812.160428245323,2.098,164.882,876.0,5.01,34.54,876.09,5.01,34.539955
0,437,25812.160428245323,2.098,164.882,878.0,4.994,34.54,878.09,4.994,34.539955
0,438,25812.160428245323,2.098,164.882,880.0,4.981,34.54,880.09,4.981,34.53996
0,439,25812.160428245323,2.098,164.882,882.0,4.966,34.54,882.09,4.966,34.539948
0,440,25812.160428245323,2.098,164.882,884.0,4.955,34.54,884.09,4.955,34.53996
0,441,25812.160428245323,2.098,164.882,886.0,4.941,34.54,886.09,4.941,34.53996
0,442,25812.160428245323,2.098,164.882,888.0,4.935,34.539,888.09,4.935,34.53895
0,443,25812.160428245323,2.098,164.882,890.0,4.924,34.539,890.09,4.924,34.53895
0,444,25812.160428245323,2.098,164.882,892.0,4.916,34.539,892.09,4.916,34.53896
0,445,25812.160428245323,2.098,164.882,894.0,4.911,34.539,894.09,4.911,34.53895
0,446,25812.160428245323,2.098,164.882,896.0,4.903,34.539,896.09,4.903,34.538956
0,447,25812.160428245323,2.098,164.882,898.0,4.889,34.54,898.09,4.889,34.539963
0,448,25812.160428245323,2.098,164.882,900.0,4.883,34.54,900.09,4.883,34.539955
0,449,25812.160428245323,2.098,164.882,902.0,4.881,34.54,902.09,4.881,34.539948
0,450,25812.160428245323,2.098,164.882,904.0,4.879,34.54,904.09,4.879,34.53996
0,451,25812.160428245323,2.098,164.882,906.0,4.877,34.54,906.09,4.877,34.53996
0,452,25812.160428245323,2.098,164.882,908.0,4.876,34.54,908.09,4.876,34.539963
